Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
SPORTIELLO,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,43,18,0,0,5.5,4.86,5.5,4.86,5.22,3.8,6.5,6.24,6.19,5.65,3,37,36,10,0,0,0,0,0,0,0,0,G,G,G,G,0,0,0,2,3,0,ATALANTA,ATALANTA,Atalanta,Fiorentina
SQUIZZI,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,1,,,,0,,5,,5,,,,6,,,,1,,,,0,,,,0,,,,G,,,,,,0,,,,CHIEVO,,,
STEFAN SILVA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.5,,,,5.5,,,,1,,,,0,,,,0,,,,F,,0,,,,0,,,,Palermo
STENDARDO,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,6.04,6.06,6.04,6.06,6.04,5.22,5.96,5.92,5.96,5.28,28,24,13,9,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,ATALANTA,ATALANTA,Atalanta,Pescara
STOIAN,2,,,3,,1,0,,,1,,,0,0,0,,,0,0,,,3,0,,0,,,0,0,,5.75,,5.75,,,6.3,5.83,,,5.94,12,,,25,0,,,0,0,,,0,M,,,M,,0,0,,,0,CHIEVO,,,Crotone
STOJANOVIC,0,,,,,,0,,,,,,,0,0,,,,0,,,,0,,1,,,,0,,5.5,,5.5,,,,6.5,,,,1,,,,0,,,,0,,,,G,,,,,,0,,,,BOLOGNA,,,
STORARI,0,0,,1,,0,0,0,,0,0,,0,0,0,0,,1,0,0,,0,0,0,3,4,,36,0,0,5.92,5.6,5.92,5.6,,3.4,6.42,6.4,,5.9,6,5,,15,0,0,,0,0,0,,0,G,G,,G,,0,0,0,,0,JUVENTUS,JUVENTUS,,Milan
STRAKOSHA,,,,1,,0,,,,0,,,0,,,,,0,,,,0,,,,,,26,,,,,,,,4.79,,,,6.05,,,,21,,,,0,,,,0,,,,G,,0,,,,0,,,,Lazio
STRINIC,,1,0,3,0,1,,2,0,1,0,0,0,,,0,0,0,,0,0,0,,0,,0,0,0,,0,,5.94,,5.72,5.75,6.12,,5.78,5.75,6.12,,9,4,12,,0,0,0,,0,0,0,,D,D,D,0,0,,0,0,0,,NAPOLI,Napoli,Napoli
STROOTMAN,6,1,1,6,0,0,4,2,1,6,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,7.13,6.3,6.96,5.9,6.5,6.76,6.43,6,6.33,6.3,23,5,3,33,2,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,ROMA,ROMA,Roma,Roma
STRUNA,,,10,0,0,0,,,0,0,,0,0,,,,1,0,,,1,0,,,,,0,0,,,,,,,5.25,0,,,5.39,0,,,22,0,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Palermo,Palermo
STURARO,7,6,6,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,6.11,5.93,5.96,5.93,5.74,5.88,6,5.98,5.74,6.03,14,22,17,16,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,GENOA,JUVENTUS,Juventus,Juventus
SUAGHER,,,7,0,0,0,,,0,0,,0,0,,,,0,0,,,0,0,,,,,0,0,,,,,,,5.63,0,,,6.06,0,,,8,0,,,0,0,,,0,0,,,D,D,0,0,,,0,0,,,Carpi,Atalanta
SUAREZ,,,3,,0,,,,0,,,0,,,,,0,,,,1,,,,,,0,,,,,,,,5.94,,,,5.75,,,,8,,,,0,,,,0,,,,M,,0,,,,0,,,,Fiorentina,
SUCCI,,2,,,,,,0,,,0,,,,,0,,,,2,,,,1,,0,,,,0,,6.83,,6.83,,,,6,,,,6,,,,0,,,,0,,,,F,,,,,,0,,,,CESENA,,
SULJIC,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Crotone
SUNJIC,,,,1,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,5.25,,,,5.38,,,,4,,,,0,,,,0,,,,D,,0,,,,0,,,,Palermo
SUSO,,0,4,5,1,0,,1,0,6,0,0,0,,,1,0,0,,0,6,7,,0,,0,0,0,,0,,5.63,,5.38,7.05,6.91,,5.63,6.22,6.28,,4,20,34,,0,0,0,,0,0,1,,M,M,M,0,1,,0,0,0,,MILAN,Genoa,Milan
SZCZESNY,,,1,0,0,0,,,0,0,,0,0,,,,0,0,,,0,0,,,,,34,38,,,,,,,5.19,5.45,,,6.21,6.29,,,34,38,,,0,0,,,0,0,,,G,G,0,0,,,0,2,,,Roma,Roma
TAARABT,3,,,0,,0,0,,,1,,,0,0,0,,,0,4,,,0,0,,0,,,0,1,,7.07,,7.07,,,6,6.32,,,5.8,14,,,5,0,,,0,0,,,0,M,,,M,,0,0,,,0,MILAN,,,Genoa
TABACCHI,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Bologna
TABANELLI,0,0,,,,,0,1,,,0,,,0,0,0,,,0,0,,,0,0,0,0,,,0,0,6,5.58,6,5.42,,,6,5.42,,,2,6,,,0,0,,,0,0,,,M,M,,,,,0,0,,,CAGLIARI,CESENA,,
TACHTSIDIS,3,10,2,5,0,2,0,1,2,2,1,1,0,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,5.65,5.99,5.65,5.96,6.3,5.79,5.62,5.9,5.95,5.77,17,34,20,26,0,0,0,0,0,0,0,0,M,M,M,M,0,0,0,0,0,0,TORINO,VERONA,Genoa,Cagliari
